,Customer Id,YearOfObservation,Insured_Period,Residential,Building_Painted,Building_Fenced,Garden,Settlement,Building Dimension,Building_Type,Date_of_Occupancy,NumberOfWindows,Geo_Code,Claim
50,H10069,2016,0.99726776,0,0,0,1,1,1500,2,0,   ,66171,0.0
51,H10073,2012,1.0,0,0,1,0,0,1450,2,1975,4,67180,0.0
52,H10074,2013,1.0,0,0,1,0,0,1450,2,1975,4,67180,0.0
53,H10075,2014,1.0,0,0,1,0,0,1450,2,1975,4,67180,0.0
54,H10077,2013,1.0,1,0,1,0,0,920,1,1900,3,88321,0.0
55,H10079,2012,1.0,0,0,0,1,1,3300,2,1960,   ,13001,0.0
56,H1008,2013,1.0,0,0,0,1,1,882,2,1960,   ,57038,0.0
57,H10080,2012,1.0,0,0,0,1,1,1100,2,1960,   ,13204,0.0
58,H10081,2013,1.0,0,0,0,1,1,1100,2,1960,   ,13204,0.0
59,H10082,2012,1.0,1,0,1,0,0,670,2,1920,3,13208,0.0
60,H10085,2014,1.0,0,0,0,1,1,869,2,0,   ,80021,0.0
61,H10089,2013,1.0,0,0,0,1,1,1100,2,1960,   ,13201,0.0
62,H1009,2016,0.99726776,0,0,0,1,1,882,2,1960,   ,57038,0.0
63,H10092,2016,0.99726776,1,0,1,0,0,650,1,1945,4,13056,0.0
64,H10094,2015,1.0,0,0,0,1,1,900,1,1980,   ,42187,0.0
65,H10095,2013,1.0,0,0,1,0,0,1600,3,1965,6,2A004,0.0
66,H10096,2012,1.0,0,0,0,1,1,400,1,1988,   ,13032,0.0
67,H10097,2013,0.704109589,0,0,0,1,1,400,1,1988,   ,13032,0.0
68,H10098,2012,1.0,0,0,0,1,1,350,1,1960,   ,13032,0.0
69,H10099,2012,1.0,0,0,0,1,1,1200,2,1960,   ,13201,0.0
70,H1010,2012,1.0,0,1,0,1,1,1102,1,1960,   ,50147,0.0
71,H10101,2013,0.747945205,0,0,1,0,0,240,4,1922,3,6083,0.0
72,H10102,2012,1.0,0,0,1,0,0,2000,3,1920,6,2A004,0.0
73,H10104,2015,1.0,0,0,0,1,1,1650,2,1960,   ,13205,0.0
74,H10105,2015,1.0,0,0,0,1,1,840,2,1980,   ,13201,0.0
75,H10107,2015,1.0,0,0,0,1,1,500,2,0,   ,13001,0.0
76,H10109,2012,1.0,0,0,1,0,0,375,2,1930,3,66136,0.0
77,H10111,2013,1.0,0,0,0,1,1,450,2,0,   ,13205,0.0
78,H10112,2015,1.0,0,0,0,1,1,450,2,0,   ,13205,0.0
79,H10115,2013,1.0,0,0,0,1,1,2880,2,0,   ,83062,0.0
80,H10116,2013,1.0,0,0,1,0,0,882,2,1950,5,83137,0.0
81,H10118,2012,1.0,1,0,0,1,1,3750,4,1980,   ,6029,0.0
82,H10119,2013,1.0,0,0,0,1,1,160,2,1960,   ,13208,0.0
83,H1012,2016,0.99726776,0,0,0,1,1,1800,1,0,   ,74042,0.0
84,H10120,2014,1.0,0,0,0,1,1,160,2,1960,   ,13208,0.0
85,H10121,2013,1.0,0,0,0,1,1,250,2,0,   ,13202,0.0
86,H10122,2013,0.0,0,0,0,1,1,1769,2,1988,   ,83061,0.0
87,H10123,2015,0.747945205,0,0,0,1,1,3500,2,1960,   ,13208,0.0
88,H10125,2016,0.99726776,0,0,0,1,1,1750,2,1960,   ,13201,0.0
89,H10126,2013,1.0,0,0,0,1,1,1100,2,1960,   ,13206,0.0
90,H10127,2014,1.0,0,0,0,1,1,1100,2,1960,   ,13206,0.0
91,H10128,2015,1.0,0,0,0,1,1,1100,2,1960,   ,13206,0.0
92,H10129,2016,1.0,0,0,0,1,1,1100,2,1960,   ,13206,0.0
93,H10130,2013,1.0,0,0,0,1,1,600,2,1960,   ,13206,0.0
94,H10131,2014,1.0,0,0,0,1,1,1220,1,1980,   ,13004,0.0
95,H10132,2012,1.0,0,0,0,1,1,460,2,0,   ,13206,0.0
96,H10133,2012,1.0,0,0,0,1,1,618,2,1960,   ,13206,0.0
97,H10134,2014,1.0,0,0,0,1,1,618,2,1960,   ,13206,0.0
98,H10135,2014,1.0,0,0,0,1,1,510,2,1960,   ,13205,0.0
99,H10136,2015,1.0,0,0,0,1,1,510,2,1960,   ,13205,0.0
100,H10137,2014,1.0,0,0,0,1,1,435,2,1960,   ,13201,0.0
101,H10138,2015,1.0,0,0,0,1,1,435,2,1960,   ,13201,0.0
102,H10139,2016,0.038251366,0,0,0,1,1,435,2,1960,   ,13201,0.0
103,H10141,2013,1.0,0,0,0,1,1,460,2,0,   ,13205,0.0
104,H10142,2014,1.0,0,0,0,1,1,450,2,0,   ,13205,0.0
105,H10143,2015,1.0,0,0,0,1,1,450,2,0,   ,13205,0.0
106,H10145,2015,1.0,0,0,1,0,0,336,2,1950,1,76259,0.0
107,H10146,2014,1.0,0,0,1,0,0,350,1,1970,3,13104,0.0
108,H10147,2014,1.0,0,0,0,1,1,400,2,1960,   ,69034,0.0
109,H10148,2012,1.0,0,0,0,1,1,3900,2,1988,   ,90032,0.0
110,H1015,2013,1.0,0,0,0,1,1,1400,2,1980,   ,4088,0.0
111,H10151,2015,1.0,0,0,0,1,1,1500,1,1988,   ,74056,0.0
112,H10155,2012,1.0,0,0,0,1,1,1300,2,0,   ,13001,0.0
113,H10156,2012,1.0,0,0,0,1,1,1100,2,1980,   ,90010,0.0
114,H10157,2013,0.367123288,0,0,0,1,1,3083,2,1980,   ,83123,0.0
115,H10159,2015,1.0,0,0,0,1,1,2205,2,1960,   ,63113,0.0
116,H10162,2015,0.512328767,0,0,0,1,1,720,2,1960,   ,90010,0.0
117,H10163,2013,1.0,0,0,0,1,1,2037,1,1980,   ,42147,0.0
118,H10164,2016,1.0,0,0,0,1,1,2037,1,1980,   ,42147,0.0
119,H10165,2013,1.0,0,0,0,1,1,2000,2,1980,   ,66171,0.0
120,H10166,2014,1.0,0,0,1,0,0,840,4,1965,4,6157,0.0
121,H10173,2013,1.0,1,0,0,1,1,657,1,0,   ,88321,0.0
122,H10174,2016,0.99726776,0,0,1,0,0,477,1,1960,5,54482,0.0
123,H10175,2015,1.0,0,0,0,1,1,311,2,1960,   ,13205,0.0
124,H10176,2013,1.0,0,0,1,0,0,720,2,1900,3,78575,0.0
125,H10177,2012,0.24863388,1,0,0,1,1,6880,2,1988,   ,83099,0.0
126,H10178,2016,0.99726776,0,0,1,0,0,250,1,1900,3,17168,0.0
127,H10180,2013,1.0,1,0,1,0,0,300,2,1930,3,13213,0.0
128,H10181,2016,0.99726776,1,0,1,0,0,300,2,1930,3,13213,0.0
129,H10182,2014,1.0,0,0,0,1,1,750,1,1980,   ,84137,0.0
130,H10185,2014,1.0,0,0,0,1,1,610,2,1960,   ,13201,0.0
131,H10186,2013,1.0,0,0,0,1,1,220,1,1980,   ,84137,0.0
132,H10187,2014,0.97260274,0,0,0,1,1,220,1,1980,   ,84137,0.0
133,H10188,2013,1.0,0,0,1,0,0,5200,2,1970,6,59017,0.0
134,H10189,2013,1.0,0,0,1,0,0,2600,2,1996,3,60346,0.0
135,H1019,2014,1.0,1,0,0,1,1,1170,4,0,   ,75118,0.0
136,H10191,2012,1.0,0,0,0,1,1,120,3,0,   ,94004,0.0
137,H10193,2015,1.0,0,0,0,1,1,100,2,0,   ,83009,0.0
138,H10194,2016,1.0,0,0,0,1,1,100,2,0,   ,83009,0.0
139,H10200,2012,1.0,0,0,0,1,1,1000,2,1960,   ,13204,0.0
140,H10202,2014,1.0,0,0,0,1,1,1000,2,1960,   ,13204,0.0
141,H10204,2012,1.0,0,0,0,1,1,400,2,0,   ,80021,0.0
142,H10206,2013,1.0,0,0,0,1,1,700,1,1988,   ,63075,0.0
143,H1021,2012,1.0,0,0,1,0,0,6612,1,1980,8,74042,0.0
144,H10210,2016,1.0,0,0,0,1,1,2127,1,1980,   ,84137,0.0
145,H10212,2013,1.0,0,0,1,0,0,600,2,1980,3,83118,0.0
146,H10213,2015,1.0,0,0,0,1,1,1665,2,1960,   ,13208,0.0
147,H10216,2013,0.410958904,0,0,0,1,1,440,2,1960,   ,13204,0.0
148,H10217,2016,1.0,0,0,0,1,1,850,2,1980,   ,70550,0.0
149,H10219,2012,0.281420765,0,0,0,1,1,475,2,1960,   ,57529,0.0
150,H10220,2012,1.0,0,0,0,1,1,500,2,0,   ,31042,0.0
151,H10228,2013,1.0,0,0,1,0,0,300,3,1900,4,93032,0.0
152,H10229,2014,1.0,0,0,1,0,0,300,3,1900,4,93032,0.0
153,H1023,2012,1.0,0,0,0,1,1,1530,1,0,   ,74042,0.0
154,H10231,2014,1.0,0,0,0,1,1,1700,2,1960,   ,31483,0.0
155,H10232,2014,1.0,0,0,1,0,0,400,2,2000,2,66136,0.0
156,H10234,2012,1.0,0,0,0,1,1,1300,2,1988,   ,63113,0.0
157,H10235,2016,0.99726776,0,0,0,1,1,1300,2,1988,   ,63113,0.0
158,H10236,2012,1.0,0,0,1,0,0,1235,1,1950,4,59183,0.0
159,H10237,2015,1.0,0,0,1,0,0,1235,1,1950,4,59183,0.0
160,H10239,2015,1.0,0,0,1,0,0,400,2,2000,4,66136,0.0
161,H10240,2012,1.0,0,0,0,1,1,1234,2,1988,   ,63113,0.0
162,H10241,2014,1.0,0,0,0,1,1,930,2,0,   ,67256,0.0
163,H10242,2015,1.0,0,0,0,1,1,930,2,0,   ,67256,0.0
164,H10243,2016,0.99726776,0,0,0,1,1,930,2,0,   ,67256,0.0
165,H10245,2013,0.936986301,0,0,0,1,1,2000,1,1988,   ,17300,0.0
166,H10246,2012,1.0,0,0,1,0,0,1470,2,1980,6,78361,0.0
167,H10247,2013,1.0,0,0,1,0,0,1470,2,1980,6,78361,0.0
168,H10248,2014,1.0,0,0,1,0,0,1470,2,1980,6,78361,0.0
169,H10249,2013,1.0,0,0,1,0,0,504,2,1928,3,29058,0.0
170,H1025,2013,1.0,0,0,0,1,1,958,1,1980,   ,74042,0.0
171,H10251,2012,1.0,0,0,0,1,1,260,2,1960,   ,34032,0.0
172,H10253,2013,1.0,0,0,1,0,0,1070,2,1990,4,90010,0.0
173,H10254,2016,0.99726776,0,0,1,0,0,1070,2,1990,4,90010,0.0
174,H10255,2016,1.0,0,0,0,1,1,1300,2,1960,   ,13213,0.0
175,H10256,2012,1.0,0,0,0,1,1,600,2,1960,   ,13215,0.0
176,H10257,2013,1.0,0,0,0,1,1,600,2,1960,   ,13215,0.0
177,H10259,2012,1.0,0,0,1,0,0,3050,3,2000,5,2A004,0.0
178,H10260,2012,1.0,1,0,1,0,0,1166,1,1999,4,13056,0.0
179,H10261,2013,1.0,1,0,1,0,0,1166,1,1999,4,13056,0.0
180,H10265,2012,1.0,0,0,0,1,1,1650,2,1980,   ,80021,0.0
181,H10266,2014,1.0,0,0,0,1,1,1588,2,1960,   ,90010,0.0
182,H10273,2012,1.0,0,0,0,1,1,270,2,1960,   ,34032,0.0
183,H10274,2016,0.99726776,0,0,0,1,1,1700,2,1988,   ,90032,0.0
184,H10280,2012,1.0,0,0,1,0,0,810,2,1940,3,83009,0.0
185,H10281,2013,1.0,0,0,1,0,0,810,2,1940,3,83009,0.0
186,H10283,2013,1.0,0,0,1,0,0,480,4,1955,2,6079,0.0
187,H10284,2016,0.99726776,1,0,1,0,0,200,2,1945,3,13205,0.0
188,H10286,2013,0.832876712,0,0,0,1,1,2527,2,1988,   ,83118,0.0
189,H1029,2013,0.665753425,0,0,0,1,1,200,2,1960,   ,62108,0.0
190,H10290,2014,1.0,0,0,0,1,1,630,3,0,   ,83137,0.0
191,H10292,2014,1.0,0,0,0,1,1,1540,1,1988,   ,74258,0.0
192,H10293,2015,1.0,0,0,0,1,1,1540,1,1988,   ,74258,0.0
193,H10294,2016,1.0,0,0,0,1,1,1540,1,1988,   ,74258,0.0
194,H10295,2013,1.0,0,0,1,0,0,4400,3,1960,7,83137,0.0
195,H10296,2012,1.0,0,0,0,1,1,300,1,1980,   ,63032,0.0
196,H10299,2013,0.443835616,0,0,0,1,1,988,2,1980,   ,57529,0.0
197,H10302,2012,1.0,0,0,0,1,1,3860,2,1988,   ,83118,0.0
198,H10305,2012,1.0,0,0,1,0,0,8137,2,1960,9,57463,0.0
199,H10306,2013,1.0,0,0,1,0,0,8137,2,1960,9,57463,0.0
200,H10307,2014,1.0,0,0,0,1,1,2000,1,1988,   ,42183,0.0
201,H10308,2014,1.0,0,0,0,1,1,500,2,1960,   ,13204,0.0
202,H10309,2016,1.0,0,0,1,0,0,2400,3,1980,6,2A004,0.0
203,H10311,2016,0.99726776,0,0,0,1,1,1500,1,1960,   ,42187,0.0
204,H10312,2012,1.0,0,0,1,0,0,11028,2,1960,7,66037,0.0
205,H10313,2013,1.0,0,0,1,0,0,11028,2,1960,7,66037,0.0
206,H10314,2014,1.0,0,0,1,0,0,11028,2,1960,7,66037,0.0
207,H10315,2015,0.41369863,0,0,1,0,0,11028,2,1960,7,66037,0.0
208,H10317,2013,1.0,0,0,0,1,1,800,2,1960,   ,13206,0.0
209,H10326,2012,1.0,0,0,1,0,0,2000,2,2001,3,68149,0.0
210,H10327,2012,1.0,0,0,0,1,1,750,2,1960,   ,13204,0.0
211,H10330,2012,1.0,0,0,0,1,1,1500,1,1988,   ,37261,0.0
212,H10331,2013,1.0,0,0,0,1,1,1500,1,1988,   ,37261,0.0
213,H10332,2013,1.0,0,0,1,0,0,1000,2,1978,3,66136,0.0
214,H10333,2014,1.0,0,0,1,0,0,1000,2,1978,3,66136,0.0
215,H10334,2012,1.0,0,0,1,0,0,1200,2,2001,7,66037,0.0
216,H10337,2015,1.0,0,0,0,1,1,477,2,1980,   ,26220,0.0
217,H10338,2013,1.0,0,0,0,1,1,800,2,0,   ,66136,0.0
218,H1034,2012,1.0,0,0,0,1,1,2800,1,1980,   ,74042,0.0
219,H10341,2015,1.0,1,0,1,0,0,2800,4,1989,5,6030,0.0
220,H10342,2016,0.99726776,1,0,1,0,0,2800,4,1989,5,6030,0.0
221,H10343,2012,1.0,0,0,1,0,0,560,2,1850,3,13201,0.0
222,H10344,2013,1.0,0,0,0,1,1,1625,2,1980,   ,66136,0.0
223,H10345,2012,1.0,0,0,0,1,1,2000,2,0,   ,51454,0.0
224,H10346,2014,1.0,0,0,0,1,1,2000,2,0,   ,51454,0.0
225,H10347,2014,1.0,0,0,0,1,1,550,2,1960,   ,13206,0.0
226,H10348,2013,1.0,0,0,0,1,1,2475,2,1980,   ,90010,0.0
227,H10349,2014,1.0,0,0,0,1,1,1500,2,1960,   ,90010,0.0
228,H1035,2013,1.0,0,0,0,1,1,2800,1,1980,   ,74042,0.0
229,H10350,2015,0.997260274,0,0,0,1,1,1500,2,1960,   ,90010,0.0
230,H10352,2012,1.0,0,0,1,0,0,900,2,1950,3,83154,0.0
231,H10353,2013,1.0,0,0,1,0,0,900,2,1950,3,83154,0.0
232,H10355,2016,1.0,0,0,1,0,0,870,2,1960,3,83098,0.0
233,H10356,2014,1.0,0,0,1,0,0,6008,2,1992,3,83118,0.0
234,H10357,2016,0.99726776,0,0,1,0,0,6008,2,1992,3,83118,0.0
235,H10358,2012,1.0,0,0,0,1,1,2881,2,1988,   ,83061,0.0
236,H10360,2012,1.0,0,0,0,1,1,340,2,0,   ,83144,0.0
237,H10361,2013,1.0,0,0,1,0,0,840,2,1960,5,13206,0.0
238,H10366,2014,1.0,0,0,0,1,1,10821,2,1980,   ,90099,0.0
239,H10369,2015,0.353424658,0,0,1,0,0,450,2,1960,4,83126,0.0
240,H1037,2015,1.0,0,0,0,1,1,1060,1,0,   ,74042,0.0
241,H10373,2014,1.0,0,0,1,0,0,550,2,1960,4,34192,0.0
242,H10374,2013,1.0,0,0,0,1,1,540,2,1960,   ,13207,0.0
243,H10375,2015,1.0,0,0,0,1,1,540,2,1960,   ,13207,0.0
244,H10377,2015,1.0,0,0,0,1,1,3059,2,1988,   ,83061,0.0
245,H10378,2013,1.0,0,0,0,1,1,1550,2,0,   ,76259,0.0
246,H10379,2016,0.24863388,0,0,0,1,1,1550,2,0,   ,76259,0.0
247,H10381,2012,1.0,0,0,0,1,1,540,1,1960,   ,74056,0.0
248,H10383,2015,1.0,0,0,0,1,1,400,2,1960,   ,13205,0.0
249,H10384,2012,1.0,0,0,0,1,1,2188,2,1960,   ,90010,0.0
250,H10389,2014,1.0,0,0,0,1,1,680,2,1980,   ,90010,0.0
251,H1039,2014,1.0,0,0,1,0,0,155,2,1980,1,62108,0.0
252,H10392,2013,1.0,0,0,1,0,0,2672,2,1980,3,83062,0.0
253,H10393,2014,1.0,0,0,1,0,0,2672,2,1980,3,83062,0.0
254,H10394,2014,0.997260274,0,0,0,1,1,650,2,1960,   ,51454,0.0
255,H10395,2014,1.0,0,0,0,1,1,1000,2,1980,   ,26264,0.0
256,H10396,2016,0.99726776,0,0,0,1,1,1000,2,1980,   ,26264,0.0
257,H10398,2014,0.747945205,0,0,0,1,1,1680,2,1960,   ,13208,0.0
258,H10399,2013,1.0,0,0,1,0,0,8500,2,1960,5,13215,0.0
259,H104,2013,1.0,0,0,0,1,1,1665,2,1980,   ,14118,0.0
260,H10400,2015,1.0,0,0,1,0,0,8500,2,1960,5,13215,0.0
261,H10402,2013,1.0,0,0,0,1,1,2500,1,1960,   ,13106,0.0
262,H10403,2016,0.99726776,0,0,0,1,1,2500,1,1960,   ,13106,0.0
263,H10406,2014,1.0,0,0,1,0,0,8113,4,1973,7,6088,0.0
264,H10408,2016,0.99726776,0,0,1,0,0,292,2,1970,2,34154,0.0
265,H10409,2015,1.0,0,0,0,1,1,640,2,1960,   ,13206,0.0
266,H10412,2013,1.0,0,0,0,1,1,240,2,1960,   ,13207,0.0
267,H10413,2012,1.0,0,0,1,0,0,340,2,1950,4,80021,0.0
268,H10416,2012,1.0,0,0,0,1,1,1600,2,1980,   ,80016,0.0
269,H10417,2015,1.0,0,0,0,1,1,1600,2,1980,   ,80016,0.0
270,H10418,2016,0.99726776,0,0,0,1,1,1600,2,1980,   ,80016,0.0
271,H10419,2015,1.0,0,0,0,1,1,5566,2,1988,   ,90010,0.0
272,H1042,2013,1.0,0,0,0,1,1,660,1,1960,   ,58194,0.0
273,H10420,2013,1.0,0,0,0,1,1,1350,1,1980,   ,84137,0.0
274,H10423,2012,1.0,0,0,0,1,1,1520,2,1988,   ,90032,0.0
275,H10426,2014,1.0,0,0,1,0,0,740,2,1950,5,80021,0.0
276,H10429,2013,1.0,0,0,1,0,0,1825,2,2003,5,67180,0.0
277,H1043,2012,1.0,0,0,0,1,1,300,1,1960,   ,58117,0.0
278,H10430,2015,0.161643836,1,0,0,1,1,850,2,1980,   ,76351,0.0
279,H10431,2012,1.0,1,0,0,1,1,3650,2,1980,   ,76351,0.0
280,H10432,2015,0.161643836,1,0,1,0,0,2000,2,1998,8,76351,0.0
281,H10433,2012,1.0,0,0,0,1,1,3420,1,1988,   ,74258,0.0
282,H10434,2012,1.0,0,0,1,0,0,1100,2,1970,4,66136,0.0
283,H10435,2014,1.0,0,0,1,0,0,1100,2,2004,4,67532,0.0
284,H10436,2015,1.0,0,0,0,1,1,1500,2,0,   ,13210,0.0
285,H10437,2016,0.99726776,0,0,0,1,1,1500,2,0,   ,13210,0.0
286,H10441,2016,1.0,0,0,0,1,1,1296,1,1960,   ,13054,0.0
287,H10442,2015,1.0,0,0,0,1,1,2505,1,1988,   ,35288,0.0
288,H10443,2014,1.0,0,0,0,1,1,1160,2,0,   ,13208,0.0
289,H10447,2014,1.0,0,0,0,1,1,610,2,1960,   ,13204,0.0
290,H10449,2013,1.0,0,0,0,1,1,2900,2,1960,   ,13206,0.0
291,H1045,2013,1.0,0,0,0,1,1,2300,1,1980,   ,58194,0.0
292,H10450,2014,1.0,1,0,1,0,0,545,2,1970,4,76351,0.0
293,H10455,2013,1.0,0,0,1,0,0,2000,3,1970,7,2A004,0.0
294,H10459,2013,1.0,1,0,1,0,0,5065,2,1980,3,76552,0.0
295,H1046,2016,0.99726776,0,0,0,1,1,145,1,1980,   ,58194,0.0
296,H10463,2016,0.99726776,0,0,1,0,0,2581,2,1997,5,83062,0.0
297,H10464,2012,1.0,1,0,1,0,0,550,2,1950,5,76351,0.0
298,H10469,2012,1.0,0,0,1,0,0,2100,2,2003,2,66136,0.0
299,H1047,2012,1.0,0,0,0,1,1,336,2,1960,   ,29019,0.0
300,H10474,2012,1.0,0,0,0,1,1,3320,2,1980,   ,83009,0.0
301,H10475,2015,1.0,0,0,0,1,1,680,2,1960,   ,13214,0.0
302,H1048,2014,0.915068493,0,0,0,1,1,880,2,1960,   ,62108,0.0
303,H105,2015,1.0,0,0,0,1,1,1665,2,1980,   ,14118,0.0
304,H1050,2012,1.0,0,0,0,1,1,200,2,1960,   ,62108,0.0
305,H10502,2012,1.0,0,0,0,1,1,0,2,1900,   ,,0.0
306,H10503,2013,1.0,0,0,0,1,1,499,2,0,   ,80021,0.0
307,H10506,2014,1.0,0,0,0,1,1,535,2,0,   ,13202,0.0
308,H10507,2015,1.0,0,0,0,1,1,1400,2,1980,   ,80021,0.0
309,H1051,2015,1.0,0,0,1,0,0,400,2,1991,5,62108,0.0
310,H10515,2014,1.0,0,0,1,0,0,2255,2,1950,5,13206,0.0
311,H10517,2015,1.0,1,0,1,0,0,2000,1,2003,6,13021,0.0
312,H1052,2012,1.0,0,0,0,1,1,125,2,1960,   ,62108,0.0
313,H10521,2012,1.0,0,0,0,1,1,720,1,0,   ,13071,0.0
314,H10522,2012,0.74863388,0,0,0,1,1,6926,2,1988,   ,21231,0.0
315,H10523,2014,1.0,0,0,1,0,0,420,1,2001,3,63032,0.0
316,H10525,2012,1.0,0,0,1,0,0,2000,3,1980,7,2A004,0.0
317,H10526,2013,1.0,0,0,1,0,0,2000,3,1980,7,2A004,0.0
318,H10527,2014,1.0,0,0,1,0,0,2000,3,1980,7,2A004,0.0
319,H10528,2015,1.0,0,0,1,0,0,2000,3,1980,7,2A004,0.0
320,H10529,2015,1.0,0,0,1,0,0,2000,3,1980,7,2A004,0.0
321,H10530,2014,1.0,0,0,0,1,1,130,1,1960,   ,13002,0.0
322,H10531,2014,0.997260274,0,0,1,0,0,2000,2,1940,5,42218,0.0
323,H10532,2012,1.0,0,0,0,1,1,1580,2,1960,   ,90010,0.0
324,H10534,2012,1.0,0,0,1,0,0,190,2,1950,4,51454,0.0
325,H10536,2012,1.0,0,0,1,0,0,1015,2,1978,4,64024,0.0
326,H10537,2013,1.0,0,0,1,0,0,1015,2,1978,4,64024,0.0
327,H10538,2013,1.0,0,0,0,1,1,2100,1,1988,   ,63075,0.0
328,H10539,2012,1.0,0,0,0,1,1,1000,2,0,   ,34172,0.0
329,H10541,2012,1.0,1,0,0,1,1,5330,2,1960,   ,76351,0.0
330,H10545,2012,1.0,0,0,0,1,1,3225,2,1988,   ,4070,0.0
331,H10547,2013,1.0,1,0,1,0,0,4102,1,1984,6,73257,0.0
332,H10549,2016,0.99726776,0,0,0,1,1,3800,2,0,   ,63113,0.0
333,H10550,2013,1.0,0,0,0,1,1,1700,2,1960,   ,13001,0.0
334,H10551,2014,1.0,0,0,0,1,1,1700,2,1960,   ,13001,0.0
335,H10552,2012,1.0,0,0,0,1,1,700,2,0,   ,51454,0.0
336,H10553,2012,1.0,0,0,0,1,1,620,2,1960,   ,69384,0.0
337,H10554,2014,1.0,0,0,0,1,1,620,2,1960,   ,69384,0.0
338,H1056,2013,0.41369863,0,0,0,1,1,150,4,1960,   ,6027,0.0
339,H10565,2014,1.0,0,0,1,0,0,390,2,1850,5,13202,0.0
340,H10566,2015,1.0,0,0,1,0,0,390,2,1850,5,13202,0.0
