,Customer Id,YearOfObservation,Insured_Period,Residential,Building_Painted,Building_Fenced,Garden,Settlement,Building Dimension,Building_Type,Date_of_Occupancy,NumberOfWindows,Geo_Code,Claim
9862,H10162,2015,0.512328767,0,Not Painted,Not Fenced,Has garden,urban area,720,2,1960,   ,90010,0.0
8573,H10163,2013,1.0,0,Not Painted,Not Fenced,Has garden,urban area,2037,1,1980,   ,42147,0.0
8574,H10164,2016,1.0,0,Not Painted,Not Fenced,Has garden,urban area,2037,1,1980,   ,42147,0.0
9124,H10165,2013,1.0,0,Not Painted,Not Fenced,Has garden,urban area,2000,2,1980,   ,66171,0.0
7595,H10166,2014,1.0,0,Not Painted,Fenced,no garden,rural area,840,4,1965,4,6157,0.0
9853,H10173,2013,1.0,1,Not Painted,Not Fenced,Has garden,urban area,657,1,0,   ,88321,0.0
8717,H10174,2016,0.99726776,0,Not Painted,Fenced,no garden,rural area,477,1,1960,5,54482,0.0
7885,H10175,2015,1.0,0,Not Painted,Not Fenced,Has garden,urban area,311,2,1960,   ,13205,0.0
9573,H10176,2013,1.0,0,Not Painted,Fenced,no garden,rural area,720,2,1900,3,78575,0.0
9671,H10177,2012,0.24863388,1,Not Painted,Not Fenced,Has garden,urban area,6880,2,1988,   ,83099,0.0
8136,H10178,2016,0.99726776,0,Not Painted,Fenced,no garden,rural area,250,1,1900,3,17168,0.0
8085,H10180,2013,1.0,1,Not Painted,Fenced,no garden,rural area,300,2,1930,3,13213,0.0
8086,H10181,2016,0.99726776,1,Not Painted,Fenced,no garden,rural area,300,2,1930,3,13213,0.0
9773,H10182,2014,1.0,0,Not Painted,Not Fenced,Has garden,urban area,750,1,1980,   ,84137,0.0
7734,H10185,2014,1.0,0,Not Painted,Not Fenced,Has garden,urban area,610,2,1960,   ,13201,0.0
9774,H10186,2013,1.0,0,Not Painted,Not Fenced,Has garden,urban area,220,1,1980,   ,84137,0.0
9775,H10187,2014,0.97260274,0,Not Painted,Not Fenced,Has garden,urban area,220,1,1980,   ,84137,0.0
8785,H10188,2013,1.0,0,Not Painted,Fenced,no garden,rural area,5200,2,1970,6,59017,0.0
8910,H10189,2013,1.0,0,Not Painted,Fenced,no garden,rural area,2600,2,1996,3,60346,0.0
9466,H1019,2014,1.0,1,Not Painted,Not Fenced,Has garden,urban area,1170,4,0,   ,75118,0.0
10019,H10191,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,120,3,0,   ,94004,0.0
9600,H10193,2015,1.0,0,Not Painted,Not Fenced,Has garden,urban area,100,2,0,   ,83009,0.0
9601,H10194,2016,1.0,0,Not Painted,Not Fenced,Has garden,urban area,100,2,0,   ,83009,0.0
7818,H10200,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1000,2,1960,   ,13204,0.0
7819,H10202,2014,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1000,2,1960,   ,13204,0.0
9586,H10204,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,400,2,0,   ,80021,0.0
8971,H10206,2013,1.0,0,Not Painted,Not Fenced,Has garden,urban area,700,1,1988,   ,63075,0.0
9262,H1021,2012,1.0,0,Not Painted,Fenced,no garden,rural area,6612,1,1980,8,74042,0.0
9776,H10210,2016,1.0,0,Not Painted,Not Fenced,Has garden,urban area,2127,1,1980,   ,84137,0.0
9685,H10212,2013,1.0,0,Not Painted,Fenced,no garden,rural area,600,2,1980,3,83118,0.0
8019,H10213,2015,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1665,2,1960,   ,13208,0.0
7820,H10216,2013,0.410958904,0,Not Painted,Not Fenced,Has garden,urban area,440,2,1960,   ,13204,0.0
9206,H10217,2016,1.0,0,Not Painted,Not Fenced,Has garden,urban area,850,2,1980,   ,70550,0.0
8766,H10219,2012,0.281420765,0,Not Painted,Not Fenced,Has garden,urban area,475,2,1960,   ,57529,0.0
8283,H10220,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,500,2,0,   ,31042,0.0
9978,H10228,2013,1.0,0,Not Painted,Fenced,no garden,rural area,300,3,1900,4,93032,0.0
9979,H10229,2014,1.0,0,Not Painted,Fenced,no garden,rural area,300,3,1900,4,93032,0.0
9263,H1023,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1530,1,0,   ,74042,0.0
8300,H10231,2014,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1700,2,1960,   ,31483,0.0
9096,H10232,2014,1.0,0,Not Painted,Fenced,no garden,rural area,400,2,2000,2,66136,0.0
8980,H10234,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1300,2,1988,   ,63113,0.0
8981,H10235,2016,0.99726776,0,Not Painted,Not Fenced,Has garden,urban area,1300,2,1988,   ,63113,0.0
8795,H10236,2012,1.0,0,Not Painted,Fenced,no garden,rural area,1235,1,1950,4,59183,0.0
8796,H10237,2015,1.0,0,Not Painted,Fenced,no garden,rural area,1235,1,1950,4,59183,0.0
9097,H10239,2015,1.0,0,Not Painted,Fenced,no garden,rural area,400,2,2000,4,66136,0.0
8982,H10240,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1234,2,1988,   ,63113,0.0
9139,H10241,2014,1.0,0,Not Painted,Not Fenced,Has garden,urban area,930,2,0,   ,67256,0.0
9140,H10242,2015,1.0,0,Not Painted,Not Fenced,Has garden,urban area,930,2,0,   ,67256,0.0
9141,H10243,2016,0.99726776,0,Not Painted,Not Fenced,Has garden,urban area,930,2,0,   ,67256,0.0
8139,H10245,2013,0.936986301,0,Not Painted,Not Fenced,Has garden,urban area,2000,1,1988,   ,17300,0.0
9558,H10246,2012,1.0,0,Not Painted,Fenced,no garden,rural area,1470,2,1980,6,78361,0.0
9559,H10247,2013,1.0,0,Not Painted,Fenced,no garden,rural area,1470,2,1980,6,78361,0.0
9560,H10248,2014,1.0,0,Not Painted,Fenced,no garden,rural area,1470,2,1980,6,78361,0.0
8248,H10249,2013,1.0,0,Not Painted,Fenced,no garden,rural area,504,2,1928,3,29058,0.0
9264,H1025,2013,1.0,0,Not Painted,Not Fenced,Has garden,urban area,958,1,1980,   ,74042,0.0
8383,H10251,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,260,2,1960,   ,34032,0.0
9863,H10253,2013,1.0,0,Not Painted,Fenced,no garden,rural area,1070,2,1990,4,90010,0.0
9864,H10254,2016,0.99726776,0,Not Painted,Fenced,no garden,rural area,1070,2,1990,4,90010,0.0
8087,H10255,2016,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1300,2,1960,   ,13213,0.0
8098,H10256,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,600,2,1960,   ,13215,0.0
8099,H10257,2013,1.0,0,Not Painted,Not Fenced,Has garden,urban area,600,2,1960,   ,13215,0.0
10078,H10259,2012,1.0,0,Not Painted,Fenced,no garden,rural area,3050,3,2000,5,2A004,0.0
7699,H10260,2012,1.0,1,Not Painted,Fenced,no garden,rural area,1166,1,1999,4,13056,0.0
7700,H10261,2013,1.0,1,Not Painted,Fenced,no garden,rural area,1166,1,1999,4,13056,0.0
9587,H10265,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1650,2,1980,   ,80021,0.0
9865,H10266,2014,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1588,2,1960,   ,90010,0.0
8384,H10273,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,270,2,1960,   ,34032,0.0
9889,H10274,2016,0.99726776,0,Not Painted,Not Fenced,Has garden,urban area,1700,2,1988,   ,90032,0.0
9602,H10280,2012,1.0,0,Not Painted,Fenced,no garden,rural area,810,2,1940,3,83009,0.0
9603,H10281,2013,1.0,0,Not Painted,Fenced,no garden,rural area,810,2,1940,3,83009,0.0
7326,H10283,2013,1.0,0,Not Painted,Fenced,no garden,rural area,480,4,1955,2,6079,0.0
7886,H10284,2016,0.99726776,1,Not Painted,Fenced,no garden,rural area,200,2,1945,3,13205,0.0
9686,H10286,2013,0.832876712,0,Not Painted,Not Fenced,Has garden,urban area,2527,2,1988,   ,83118,0.0
8920,H1029,2013,0.665753425,0,Not Painted,Not Fenced,Has garden,urban area,200,2,1960,   ,62108,0.0
9720,H10290,2014,1.0,0,Not Painted,Not Fenced,Has garden,urban area,630,3,0,   ,83137,0.0
9319,H10292,2014,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1540,1,1988,   ,74258,0.0
9320,H10293,2015,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1540,1,1988,   ,74258,0.0
9321,H10294,2016,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1540,1,1988,   ,74258,0.0
9721,H10295,2013,1.0,0,Not Painted,Fenced,no garden,rural area,4400,3,1960,7,83137,0.0
8968,H10296,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,300,1,1980,   ,63032,0.0
8767,H10299,2013,0.443835616,0,Not Painted,Not Fenced,Has garden,urban area,988,2,1980,   ,57529,0.0
9687,H10302,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,3860,2,1988,   ,83118,0.0
8758,H10305,2012,1.0,0,Not Painted,Fenced,no garden,rural area,8137,2,1960,9,57463,0.0
8759,H10306,2013,1.0,0,Not Painted,Fenced,no garden,rural area,8137,2,1960,9,57463,0.0
8578,H10307,2014,1.0,0,Not Painted,Not Fenced,Has garden,urban area,2000,1,1988,   ,42183,0.0
7821,H10308,2014,1.0,0,Not Painted,Not Fenced,Has garden,urban area,500,2,1960,   ,13204,0.0
10079,H10309,2016,1.0,0,Not Painted,Fenced,no garden,rural area,2400,3,1980,6,2A004,0.0
8591,H10311,2016,0.99726776,0,Not Painted,Not Fenced,Has garden,urban area,1500,1,1960,   ,42187,0.0
9088,H10312,2012,1.0,0,Not Painted,Fenced,no garden,rural area,11028,2,1960,7,66037,0.0
9089,H10313,2013,1.0,0,Not Painted,Fenced,no garden,rural area,11028,2,1960,7,66037,0.0
9090,H10314,2014,1.0,0,Not Painted,Fenced,no garden,rural area,11028,2,1960,7,66037,0.0
9091,H10315,2015,0.41369863,0,Not Painted,Fenced,no garden,rural area,11028,2,1960,7,66037,0.0
7934,H10317,2013,1.0,0,Not Painted,Not Fenced,Has garden,urban area,800,2,1960,   ,13206,0.0
9163,H10326,2012,1.0,0,Not Painted,Fenced,no garden,rural area,2000,2,2001,3,68149,0.0
7822,H10327,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,750,2,1960,   ,13204,0.0
8468,H10330,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1500,1,1988,   ,37261,0.0
8469,H10331,2013,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1500,1,1988,   ,37261,0.0
9098,H10332,2013,1.0,0,Not Painted,Fenced,no garden,rural area,1000,2,1978,3,66136,0.0
9099,H10333,2014,1.0,0,Not Painted,Fenced,no garden,rural area,1000,2,1978,3,66136,0.0
9092,H10334,2012,1.0,0,Not Painted,Fenced,no garden,rural area,1200,2,2001,7,66037,0.0
8209,H10337,2015,1.0,0,Not Painted,Not Fenced,Has garden,urban area,477,2,1980,   ,26220,0.0
9100,H10338,2013,1.0,0,Not Painted,Not Fenced,Has garden,urban area,800,2,0,   ,66136,0.0
9265,H1034,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,2800,1,1980,   ,74042,0.0
7300,H10341,2015,1.0,1,Not Painted,Fenced,no garden,rural area,2800,4,1989,5,6030,0.0
7301,H10342,2016,0.99726776,1,Not Painted,Fenced,no garden,rural area,2800,4,1989,5,6030,0.0
7735,H10343,2012,1.0,0,Not Painted,Fenced,no garden,rural area,560,2,1850,3,13201,0.0
9101,H10344,2013,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1625,2,1980,   ,66136,0.0
8674,H10345,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,2000,2,0,   ,51454,0.0
8675,H10346,2014,1.0,0,Not Painted,Not Fenced,Has garden,urban area,2000,2,0,   ,51454,0.0
7935,H10347,2014,1.0,0,Not Painted,Not Fenced,Has garden,urban area,550,2,1960,   ,13206,0.0
9866,H10348,2013,1.0,0,Not Painted,Not Fenced,Has garden,urban area,2475,2,1980,   ,90010,0.0
9867,H10349,2014,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1500,2,1960,   ,90010,0.0
9266,H1035,2013,1.0,0,Not Painted,Not Fenced,Has garden,urban area,2800,1,1980,   ,74042,0.0
9868,H10350,2015,0.997260274,0,Not Painted,Not Fenced,Has garden,urban area,1500,2,1960,   ,90010,0.0
9762,H10352,2012,1.0,0,Not Painted,Fenced,no garden,rural area,900,2,1950,3,83154,0.0
9763,H10353,2013,1.0,0,Not Painted,Fenced,no garden,rural area,900,2,1950,3,83154,0.0
9668,H10355,2016,1.0,0,Not Painted,Fenced,no garden,rural area,870,2,1960,3,83098,0.0
9688,H10356,2014,1.0,0,Not Painted,Fenced,no garden,rural area,6008,2,1992,3,83118,0.0
9689,H10357,2016,0.99726776,0,Not Painted,Fenced,no garden,rural area,6008,2,1992,3,83118,0.0
9635,H10358,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,2881,2,1988,   ,83061,0.0
9755,H10360,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,340,2,0,   ,83144,0.0
7936,H10361,2013,1.0,0,Not Painted,Fenced,no garden,rural area,840,2,1960,5,13206,0.0
9891,H10366,2014,1.0,0,Not Painted,Not Fenced,Has garden,urban area,10821,2,1980,   ,90099,0.0
9704,H10369,2015,0.353424658,0,Not Painted,Fenced,no garden,rural area,450,2,1960,4,83126,0.0
9267,H1037,2015,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1060,1,0,   ,74042,0.0
8404,H10373,2014,1.0,0,Not Painted,Fenced,no garden,rural area,550,2,1960,4,34192,0.0
7993,H10374,2013,1.0,0,Not Painted,Not Fenced,Has garden,urban area,540,2,1960,   ,13207,0.0
7994,H10375,2015,1.0,0,Not Painted,Not Fenced,Has garden,urban area,540,2,1960,   ,13207,0.0
9636,H10377,2015,1.0,0,Not Painted,Not Fenced,Has garden,urban area,3059,2,1988,   ,83061,0.0
9502,H10378,2013,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1550,2,0,   ,76259,0.0
9503,H10379,2016,0.24863388,0,Not Painted,Not Fenced,Has garden,urban area,1550,2,0,   ,76259,0.0
9269,H10381,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,540,1,1960,   ,74056,0.0
7887,H10383,2015,1.0,0,Not Painted,Not Fenced,Has garden,urban area,400,2,1960,   ,13205,0.0
9869,H10384,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,2188,2,1960,   ,90010,0.0
9870,H10389,2014,1.0,0,Not Painted,Not Fenced,Has garden,urban area,680,2,1980,   ,90010,0.0
8921,H1039,2014,1.0,0,Not Painted,Fenced,,rural area,155,2,1980,1,62108,0.0
9646,H10392,2013,1.0,0,Not Painted,Fenced,no garden,rural area,2672,2,1980,3,83062,0.0
9647,H10393,2014,1.0,0,Not Painted,Fenced,no garden,rural area,2672,2,1980,3,83062,0.0
